attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ISCN 1-1 (2015-12-10)	Identifier for the data product	character			NA	NA
dataset_name_sub	Identifier for the submitted data set	character			NA	NA
dataset_name_soc	Identifier for data set providing the SOC	character			NA	NA
lat (dec. deg)	The latitudinal coordinate, in decimal degrees, to the appropriate level of spatial accuracy (up to five decimal degrees; WGS84 Latitude/Longitude datum preferred). Examples include: “64.67083”	character	degree		NA	NA
long (dec. deg)	The longitudinal coordinate, in decimal degrees, to the appropriate level of spatial accuracy (up to five decimal degrees; WGS84 Latitude/Longitude datum preferred). Examples include: “-148.32683”	character	degree		NA	NA
datum (datum)	Latitude/Longitude datum against which Latitude and Longitude are reported. If left blank, WGS84 will be assumed. Controlled vocabulary: datum	character			NA	NA
state (state_province)	A politically defined sub-region of a country, described as either a state or province. Controlled vocabulary: state_province	character			NA	NA
country (country)	Nation of origin of the data. Controlled vocabulary: country	character			NA	NA
site_name	A unique name for a site that corresponds to a georeferenced point. Examples include: “101”,“DFTC”, “Site 1”, “99AK180003”	character			NA	NA
observation_date (YYYY-MM-DD)	The date at which the profile was taken at the site. Examples include: “2001-08-20”	character		YYYY-MM-DD	NA	NA
profile_name	A unique name for a single profile. This can be the same as the site name if there is only one profile at the site. For NRCS data it is the same as “Pedon ID”. Examples include: “BZBS4”, “99P0544”, “Profile 1”	character			NA	NA
layer_name	A unique name for a single sampled layer. This can be a name that denotes depth, sequence, etc. Examples include: “0-10”, “10-20”, “40A04456”, “BZBS 4.1”	character			NA	NA
layer_top (cm)	The top (upper) depth of the layer. The surface of the non-green (i.e. non-living) surface layer is “0”. The top of the O-horizon should be 0.	character	centimeter		NA	NA
layer_bot (cm)	The bottom (lower) depth of the layer. If it is uncertain that the bottom of the designated horizon was reached, enter the depth to the bottom of the sampled layer. Note that this is the same as hzn_bot in the NRCS database.	character	centimeter		NA	NA
hzn_desgn_other	Horizon designation following a convention other than NRCS. Please document the convention in the associated Horizon Designation Other Note. Examples include: “L”, “F”, “M”, “H”, “OF”, “OM”, “OH”	character			NA	NA
hzn	Soil horizon description	character			NA	NA
hzn_desgn	Follow conventions of the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 2-2 through 2-4). Note that datasets originally using another convention will be modified for this column. If a different convention was used it can be entered in Horizon Designation Other. Examples include: “Oi”, “A”, “AE”, “A/E”, “Bwf”, “Bhs”	character			NA	NA
layer_note	A description of the sampled layer. For example, a full NRCS horizon description. Examples include: “2-5 cm; brown (10YR 4/3) silt loam; moderate very fine platy structure; very friable; many roots; many fine vesicular pores; brown (10YR 5/3) on plate faces; many very thin bands of finer material similar to B't (below) throughout the horizon; abrupt wavy boundary”, “Denser, darker fabrics with white fungus and larger roots”	character			NA	NA
color	Color of moist soil based on the Munsell soil color chart. Examples include: “10YR 3/3”	character			NA	NA
