attributeName	code	definition
dataset_name_soc	AK DSC Project SOC stock computation	NA
dataset_name_soc	Heckman lithosequence	NA
dataset_name_soc	ISCN No SOC stock computation	NA
dataset_name_soc	ISCN SOC stock computation	NA
dataset_name_soc	Northern Circumpolar Soil Carbon Database (NCSCD)	NA
dataset_name_soc	Permafrost_RCN	NA
dataset_name_soc	UMBS_FASET	NA
dataset_name_soc	USDA-FS NRS Landscape Carbon Inventory	NA
dataset_name_soc	USGS Harden Yazoo	NA
dataset_name_soc	nan	NA
datum (datum)	Guam 1963	Datum suitable for use in Guam
datum (datum)	NAD27	North American Datum 1927
datum (datum)	NAD83	North American Datum 1983
datum (datum)	WGS84	World Geodetic System 1984
datum (datum)	nan	NA
hzn	?	NA
hzn	A	NA
hzn	a	NA
hzn	B	NA
hzn	b	NA
hzn	C	NA
hzn	c	NA
hzn	E	NA
hzn	L	NA
hzn	O	NA
hzn	R	NA
hzn	nan	NA
bdNRCS_prep_code	S	NA
bdNRCS_prep_code	nan	NA
cNRCS_prep_code	GP	NA
cNRCS_prep_code	HM	NA
cNRCS_prep_code	M	NA
cNRCS_prep_code	N	NA
cNRCS_prep_code	O	NA
cNRCS_prep_code	P	NA
cNRCS_prep_code	S	NA
cNRCS_prep_code	S_SK	NA
cNRCS_prep_code	W	NA
cNRCS_prep_code	nan	NA
cNRCS_prep_code	False	NA
