variable,table
collection_name,collection
collection_citation,collection
dataset_name,collection
collection_license,collection
license,collection
dataset_name,layer
site_name,layer
profile_name,layer
layer_name,layer
soc,layer
layer_top,layer
layer_bottom,layer
horizon_designation_other,layer
horizon,layer
horizon_designation,layer
color,layer
bulk_density_sample,layer
bulk_density_total,layer
bulk_density_whole,layer
bulk_density_other,layer
c_tot,layer
oc,layer
loi,layer
n_tot,layer
c_to_n,layer
ph_cacl,layer
ph_h2o,layer
ph_other,layer
caco3,layer
sand_tot_psa,layer
silt_tot_psa,layer
clay_tot_psa,layer
wpg2,layer
cat_exch,layer
al_dith,layer
al_ox,layer
al_other,layer
fe_dith,layer
fe_ox,layer
fe_other,layer
mn_dith,layer
mn_ox,layer
mn_other,layer
ca_al,layer
ca_ext,layer
k_ext,layer
mg_ext,layer
na_ext,layer
base_sum,layer
cec_sum,layer
ecec,layer
bs,layer
bs_sum,layer
h_ext,layer
zn_ext,layer
p_bray,layer
p_ox,layer
p_meh,layer
p_other,layer
root_quant_size,layer
root_weight,layer
15n,layer
13c,layer
14c,layer
14c_age,layer
fraction_modern,layer
textureClass,layer
210Pb,layer
age,layer
som,layer
total_carbon,layer
total_nitrogen,layer
add_note,profile
dataset_name,profile
site_name,profile
profile_name,profile
2d_position,profile
aspect_deg,profile
country,profile
datum,profile
drainagecl,profile
ecoregion,profile
elevation,profile
landform,profile
landform_note,profile
landscape,profile
landuse,profile
latitude,profile
profile_bottom,profile
layer_carbon_count,profile
layer_count,study
layer_ISCN_soc_count,study
layer_soc_count,study
profile_top,profile
locator_alias,profile
locator_parent_alias,profile
longitude,profile
map,profile
mat,profile
observation_date,profile
profile_soc,profile
profile_soc_carbon_flag,profile
profile_soc_depth,profile
profile_soc_spatial_flag,profile
profile_zero_ref,profile
runoff,profile
site_note,profile
site_perm,profile
slope,profile
soil_series,profile
soil_taxon,profile
state,profile
surface_veg,profile
thaw_depth_profile,profile
vegclass_local,profile
site_rock_depth_min,profile
site_rock_depth_max,profile
elevation_end,profile
elevation_start,profile
core_recovery,profile
profile_basal_age_calbp,profile
profile_basal_age_uncal,profile
profile_basal_age_depth,profile
carbon_rate_site,profile
profile_depth,profile
site_microtopography,profile
profile_data_count,profile
processed_volume,profile
site_peat_class,profile
peat,profile
peat_flag,profile
dataset_name,study
acknowledgement,study
acknowledgement_usage,study
study_citation_long,study
study_citation_short,study
citation_usage,study
contact_email,study
contact_name,study
curator_email,study
curator_name,study
curator_organization,study
data_collection,study
dataset_description,study
dataset_type,study
modification_date,study
profile_count,study
profile_ISCN_soc_count,study
profile_soc_count,study
reference,study
site_count,study
site_ISCN_soc_count,study
site_soc_count,study
url,study
author,study
download_url,study
