data_product,data_table,data_column,data_type,entry
ISCN3,layer,13c (‰),unit,permille
ISCN3,layer,14c (‰),unit,permille
ISCN3,layer,14c_sigma (‰),unit,permille
ISCN3,layer,14c_age (BP),method,14C age model
ISCN3,layer,14c_age (BP),unit,BP
ISCN3,layer,15n (‰),unit,permille
ISCN3,layer,al_dith (specified by al_fe_units),method,Oxalate Extractable Al
ISCN3,layer,al_other (specified by al_fe_units),method,Other Extractable Al
ISCN3,layer,al_ox (specified by al_fe_units),method,Oxalate Extractable Al
ISCN3,profile,aspect_deg (degree),unit,degree
ISCN3,layer,bs (percent),unit,percent
ISCN3,layer,bs_sum (percent),unit,percent
ISCN3,layer,bd_other (g cm-3),description,Bulk Density Other
ISCN3,layer,bd_other (g cm-3),unit,g cm-3
ISCN3,layer,bd_samp (g cm-3),description,"Bulk Density, Coarse Fragments Removed"
ISCN3,layer,bd_samp (g cm-3),unit,g cm-3
ISCN3,layer,bd_tot (g cm-3),description,Bulk Density With Coarse Fragments
ISCN3,layer,bd_tot (g cm-3),unit,g cm-3
ISCN3,layer,bd_whole (g cm-3),description,Bulk Density Minus Estimated Coarse Fragments
ISCN3,layer,bd_whole (g cm-3),unit,g cm-3
ISCN3,layer,bdNRCS_prep_code,control_vocabulary,[[reference NRCS Soil lab manual]]
ISCN3,layer,c_to_n (mass ratio),unit,mass ratio
ISCN3,layer,cNRCS_prep_code,control_vocabulary,[[reference NRCS Soil lab manual]]
ISCN3,layer,c_tot (percent),unit,percent
ISCN3,layer,caco3 (percent),unit,percent
ISCN3,layer,cat_exch (cmol H+ kg-1),unit,cmol H+ kg-1
ISCN3,layer,clay_tot_psa (percent),unit,percent
ISCN3,profile,dataset_name_sub,description,Submition database
ISCN3,layer,dataset_name_sub,description,Submition database
ISCN3,profile,dataset_name_soc,description,SOC data source
ISCN3,layer,datum (datum),unit,datum
ISCN3,profile,elevation (m),unit,m
ISCN3,layer,fe_dith (specified by al_fe_units),method,Dithionite Extractable Fe
ISCN3,layer,fe_other (specified by al_fe_units),method,Other Extractable Fe
ISCN3,layer,fe_ox (specified by al_fe_units),method,Oxalate Extractable Fe
ISCN3,profile,landscape (landscape),vocabulary_family,landscape
ISCN3,profile,landuse (landsat),vocabulary_family,landsat
ISCN3,profile,lat (dec. deg),unit,degrees
ISCN3,layer,lat (dec. deg),unit,degrees
ISCN3,layer,layer_bot (cm),unit,cm
ISCN3,layer,layer_top (cm),unit,cm
ISCN3,layer,layer_bot (cm),description,Bottom bound
ISCN3,layer,layer_top (cm),description,Upper bound
ISCN3,layer,loi (percent),unit,percent
ISCN3,layer,loi (percent),description,Loss on ignition
ISCN3,profile,long (dec. deg),unit,degrees
ISCN3,layer,long (dec. deg),unit,degrees
ISCN3,profile,locator_alias,description,location alias for reconstruction
ISCN3,profile,locator_parent_alias,description,reference to parent location alias
ISCN3,layer,locator_parent_alias,description,reference to parent location alias
ISCN3,profile,map (mm),unit,mm
ISCN3,profile,mat (°C),unit,°C
ISCN3,citation,modification_date (YYYY-MM-DD),unit,YYYY-MM-DD
ISCN3,dataset,modification_date (YYYY-MM-DD),unit,YYYY-MM-DD
ISCN3,layer,mn_dith (specified by al_fe_units),method,Dithionite Extractable Mn
ISCN3,layer,mn_other (specified by al_fe_units),method,Other Extractable Mn
ISCN3,layer,mn_ox (specified by al_fe_units),method,Oxalate Extractable Mn
ISCN3,layer,n_tot (percent),unit,percent
ISCN3,layer,oc (percent),unit,percent
ISCN3,layer,p_bray (specified by p_units),method,Bray extraction of P
ISCN3,layer,p_meh (specified by p_units),method,Meh extraction of P
ISCN3,layer,p_other (specified by p_units),method,Other extraction of P
ISCN3,layer,p_ox (specified by p_units),method,Ox extraction of P
ISCN3,layer,ph_cacl,method,CaCl extracted pH
ISCN3,layer,ph_h2o,method,H2O extracted pH
ISCN3,layer,ph_other,method,Other extracted pH
ISCN3,profile,layer_bot (cm),unit,cm
ISCN3,profile,soc (g cm-2),unit,g cm-2
ISCN3,profile,soc_depth (cm),unit,cm
ISCN3,profile,layer_top (cm),unit,cm
ISCN3,layer,root_weight (g),unit,g
ISCN3,profile,runoff (runoff),control_vocabulary,runoff
ISCN3,layer,sand_tot_psa (percent),unit,percent
ISCN3,layer,silt_tot_psa (percent),unit,percent
ISCN3,profile,slope (percent),unit,percent
ISCN3,layer,soc (g cm-2),unit,g cm-2
ISCN3,profile,thaw_depth_profile (cm),unit,cm
ISCN3,layer,wpg2 (percent),unit,percent
ISCN3,"NA",version,description,ISCN 1-1 (2015-12-10)
CCRCN,Associated Publications,year,unit,YYYY
CCRCN,Associated Publications,month,unit,MM
CCRCN,Materials and Methods,sediment_sieve_size,unit,mm
CCRCN,Materials and Methods,dry_bulk_density_temperature,unit,degree-C
CCRCN,Materials and Methods,dry_bulk_density_time,unit,hour
CCRCN,Materials and Methods,dry_bulk_density_sample_volume,unit,cm3
CCRCN,Materials and Methods,dry_bulk_density_sample_mass,unit,g
CCRCN,Materials and Methods,loss_on_ignition_temperature,unit,degree-C
CCRCN,Materials and Methods,loss_on_ignition_time,unit,hour
CCRCN,Materials and Methods,loss_on_ignition_sample_volume,unit,cm3
CCRCN,Materials and Methods,loss_on_ignition_sample_mass,unit,g
CCRCN,Site Level,site_latitude_max,unit,degrees
CCRCN,Site Level,site_latitude_min,unit,degrees
CCRCN,Site Level,site_longitude_max,unit,degrees
CCRCN,Site Level,site_longitude_min,unit,degrees
CCRCN,Core Level,core_date,unit,YYYY-MM-DD
CCRCN,Core Level,core_latitude,unit,degrees
CCRCN,Core Level,core_longitude,unit,degrees
CCRCN,Core Level,core_position_accuracy,unit,m
CCRCN,Core Level,core_elevation,unit,m
CCRCN,Core Level,core_elevation_accuracy,unit,m
CCRCN,Soil Depth Series,depth_min,unit,cm
CCRCN,Soil Depth Series,depth_max,unit,cm
CCRCN,Soil Depth Series,dry_bulk_density,unit,g cm-3
CCRCN,Soil Depth Series,cs137_activity,unit,kg-1 s-1
CCRCN,Soil Depth Series,cs137_activity_sd,unit,kg-1 s-1
CCRCN,Soil Depth Series,total_pb210_activity,unit,kg-1 s-1
CCRCN,Soil Depth Series,total_pb210_activity_sd,unit,kg-1 s-1
CCRCN,Soil Depth Series,ra226_activity,unit,kg-1 s-1
CCRCN,Soil Depth Series,ra226_activity_sd,unit,kg-1 s-1
CCRCN,Soil Depth Series,excess_pb210_activity_sd,unit,kg-1 s-1
CCRCN,Soil Depth Series,c14_age,unit,radiocarbonYear
CCRCN,Soil Depth Series,c14_age_sd,unit,radiocarbonYear
CCRCN,Soil Depth Series,delta_c13,unit,ppm
CCRCN,Soil Depth Series,be7_activity,unit,kg-1 s-1
CCRCN,Soil Depth Series,be7_activity_sd,unit,kg-1 s-1
CCRCN,Soil Depth Series,am241_activity,unit,kg-1 s-1
CCRCN,Soil Depth Series,am241_activity_sd,unit,kg-1 s-1
CCRCN,Soil Depth Series,marker_date,unit,YYYY-MM-DD
CCRCN,Soil Depth Series,age,unit,year
CCRCN,Soil Depth Series,age_min,unit,year
CCRCN,Soil Depth Series,age_max,unit,year
CCRCN,Soil Depth Series,age_sd,unit,year
CCRCN,Study Information,one_liner,description,NA
CCRCN,Study Information,study_code,description,NA
CCRCN,Study Information,study_start_date,description,NA
CCRCN,Study Information,study_end_date,description,NA
CCRCN,Study Information,abstract,description,NA
CCRCN,Keywords,key_words,description,NA
CCRCN,Authors,last_name,description,NA
CCRCN,Authors,given_name,description,NA
CCRCN,Authors,email,description,NA
CCRCN,Authors,phone,description,NA
CCRCN,Authors,corresponding_author,description,NA
CCRCN,Funding Sources,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
CCRCN,Funding Sources,funding_agency,description,"Agency name funding the research, spelled out, no acronyms."
CCRCN,Funding Sources,funding_id,description,Code used by the agency to track the project funding.
CCRCN,Funding Sources,funding_notes,description,Any other submitter-generated notes about the project funding.
CCRCN,Associated Publications,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
CCRCN,Associated Publications,bibtex_citation,description,Submitters can associate multiple BibTeX style citations with the dataset. They can also include the same information by filling out following attributes in tabular form if more convenient than BibTeX formatting.
CCRCN,Associated Publications,publication_type,description,Code indicating the type of publication the study originates from.
CCRCN,Associated Publications,author,description,The names of the author separated by “and”.
CCRCN,Associated Publications,year,description,"The year of publication or, if unpublished, the year of creation."
CCRCN,Associated Publications,title,description,The title of the work.
CCRCN,Associated Publications,journal,description,The journal or magazine the work was published in.
CCRCN,Associated Publications,volume,description,The volume of a journal or multi-volume book.
CCRCN,Associated Publications,number,description,"The “(issue) number” of a journal, magazine, or tech-report, if applicable. (Most publications have a “volume”, but no “number” field.)."
CCRCN,Associated Publications,pages,description,"Page numbers, separated either by commas or double-hyphens."
CCRCN,Associated Publications,url,description,Permanent web address where the work can be located.
CCRCN,Associated Publications,doi,description,Digital object identifier associated with the work.
CCRCN,Associated Publications,address,description,"Publisher’s address (usually just the city, but can be the full address for lesser-known publishers)."
CCRCN,Associated Publications,annote,description,An annotation for annotated bibliography styles (not typical).
CCRCN,Associated Publications,booktitle,description,"The title of the book, if only part of it is being cited."
CCRCN,Associated Publications,chapter,description,The chapter number.
CCRCN,Associated Publications,crossref,description,The key of the cross-referenced entry.
CCRCN,Associated Publications,edition,description,"The edition of a book, long form (such as “First” or “Second”)."
CCRCN,Associated Publications,editor,description,The name(s) of the editor(s).
CCRCN,Associated Publications,howpublished,description,"How it was published, if the publishing method is nonstandard."
CCRCN,Associated Publications,institution,description,"The institution that was involved in the publishing, but not necessarily the publisher."
CCRCN,Associated Publications,key,description,A hidden field used for specifying or overriding the alphabetical order of entries (when the “author” and “editor” fields are missing). Note that this is very different from the key (mentioned just after this list) that is used to cite or cross-reference the entry.
CCRCN,Associated Publications,month,description,"The month of publication (or, if unpublished, the month of creation)."
CCRCN,Associated Publications,note,description,Miscellaneous extra information.
CCRCN,Associated Publications,organization,description,The conference sponsor.
CCRCN,Associated Publications,publisher,description,The publisher’s name.
CCRCN,Associated Publications,school,description,The school where the thesis was written.
CCRCN,Associated Publications,series,description,The series of books the book was published in (e.g. “The Hardy Boys” or “Lecture Notes in Computer Science”).
CCRCN,Associated Publications,type,description,"The field overriding the default type of publication (e.g. “Research Note” for techreport, “{PhD} dissertation” for phdthesis, “Section” for inbook/incollection)."
CCRCN,Materials and Methods,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
