data_product,data_table,data_column,data_type
ISCN3,layer,13c (‰),value_number
ISCN3,layer,14c (‰),value_number
ISCN3,layer,14c_sigma (‰),sigma
ISCN3,layer,14c_age (BP),value_number
ISCN3,layer,14c_age_sigma (BP),sigma
ISCN3,layer,15n (‰),value_number
ISCN3,profile,2d_position (2d_position),value_factor
ISCN3,citation,acknowledgement,value_string
ISCN3,citation,acknowledgement_usage,value_string
ISCN3,layer,al_dith (specified by al_fe_units),value_number
ISCN3,layer,al_other (specified by al_fe_units),value_number
ISCN3,layer,al_ox (specified by al_fe_units),value_number
ISCN3,layer,al_fe_units (extract_units),unit
ISCN3,layer,al_fe_method,method
ISCN3,profile,aspect_deg (degree),value_number
ISCN3,layer,base_sum (specified by cec_h_units),value_number
ISCN3,layer,cec_h_units (extract_units),unit
ISCN3,layer,bs (percent),value_number
ISCN3,layer,bs_sum (percent),value_number
ISCN3,layer,bd_method,method
ISCN3,layer,bdNRCS_prep_code,method
ISCN3,layer,bd_other (g cm-3),value_number
ISCN3,layer,bd_samp (g cm-3),value_number
ISCN3,layer,bd_tot (g cm-3),value_number
ISCN3,layer,bd_whole (g cm-3),value_number
ISCN3,layer,c_to_n (mass ratio),value_number
ISCN3,layer,cNRCS_prep_code,method
ISCN3,layer,c_method,method
ISCN3,layer,c_tot (percent),value_number
ISCN3,layer,ca_al (specified by bc_units),value_number
ISCN3,layer,bc_units (extract_units),unit
ISCN3,layer,bc_method,method
ISCN3,layer,ca_ext (specified by bc_units),value_number
ISCN3,layer,caco3 (percent),value_number
ISCN3,layer,cat_exch (cmol H+ kg-1),value_number
ISCN3,layer,cec_sum (specified by cec_h_units),value_number
ISCN3,citation,citation,value_string
ISCN3,citation,citation_usage,value_string
ISCN3,layer,clay_tot_psa (percent),value_number
ISCN3,layer,color,value_string
ISCN3,dataset,contact_email,value_string
ISCN3,dataset,contact_name,value_string
ISCN3,profile,country (country),value_string
ISCN3,layer,country (country),value_string
ISCN3,citation,curator_email,value_string
ISCN3,dataset,curator_email,value_string
ISCN3,citation,curator_name,value_string
ISCN3,dataset,curator_name,value_string
ISCN3,citation,curator_organization,value_string
ISCN3,dataset,curator_organization,value_string
ISCN3,dataset,dataset_description,value_string
ISCN3,citation,dataset_name,id
ISCN3,dataset,dataset_name,id
ISCN3,profile,dataset_name_sub,id
ISCN3,layer,dataset_name_sub,id
ISCN3,citation,dataset_type (dataset_type),value_string
ISCN3,dataset,dataset_type (dataset_type),value_string
ISCN3,profile,datum (datum),value_string
ISCN3,layer,datum (datum),value_string
ISCN3,profile,drainagecl (drainage),value_string
ISCN3,layer,ecec (specified by cec_h_units),value_number
ISCN3,profile,ecoregion,value_string
ISCN3,profile,elevation (m),value_number
ISCN3,layer,fe_dith (specified by al_fe_units),value_number
ISCN3,layer,fe_other (specified by al_fe_units),value_number
ISCN3,layer,fe_ox (specified by al_fe_units),value_number
ISCN3,layer,fraction_modern,value_number
ISCN3,layer,fraction_modern_sigma,sigma
ISCN3,layer,h_ext (specified by metal_ext_units),value_number
ISCN3,layer,metal_ext_units (extract_units),unit
ISCN3,layer,metal_ext_method,method
ISCN3,layer,hzn,value_string
ISCN3,layer,hzn_desgn,value_string
ISCN3,layer,hzn_desgn_other,value_string
ISCN3,layer,k_ext (specified by bc_units),value_number
ISCN3,profile,landform (landform),value_factor
ISCN3,profile,landform_note,note
ISCN3,profile,landscape (landscape),value_factor
ISCN3,profile,landuse (landsat),value_factor
ISCN3,profile,lat (dec. deg),value_number
ISCN3,layer,lat (dec. deg),value_number
ISCN3,dataset,soc_lcount_ISCN,value_number
ISCN3,layer,layer_bot (cm),value_max
ISCN3,profile,carbon_lcount,value_number
ISCN3,dataset,total_lcount,value_number
ISCN3,profile,total_lcount,value_number
ISCN3,layer,layer_name,id
ISCN3,layer,layer_note,note
ISCN3,dataset,soc_lcount,method
ISCN3,profile,soc_lcount,method
ISCN3,layer,layer_top (cm),value_min
ISCN3,profile,locator_alias,value_string
ISCN3,profile,locator_parent_alias,value_string
ISCN3,layer,locator_parent_alias,value_string
ISCN3,layer,loi (percent),value_number
ISCN3,profile,long (dec. deg),value_number
ISCN3,layer,long (dec. deg),value_number
ISCN3,profile,map (mm),value_number
ISCN3,profile,mat (°C),value_number
ISCN3,layer,mg_ext (specified by bc_units),value_number
ISCN3,layer,mn_dith (specified by al_fe_units),value_number
ISCN3,layer,mn_other (specified by al_fe_units),value_number
ISCN3,layer,mn_ox (specified by al_fe_units),value_number
ISCN3,citation,modification_date (YYYY-MM-DD),value_date
ISCN3,dataset,modification_date (YYYY-MM-DD),value_date
ISCN3,layer,n_tot (percent),value_number
ISCN3,layer,na_ext (specified by bc_units),value_number
ISCN3,profile,observation_date (YYYY-MM-DD),value_date
ISCN3,layer,observation_date (YYYY-MM-DD),value_date
ISCN3,layer,oc (percent),value_number
ISCN3,layer,p_bray (specified by p_units),value_number
ISCN3,layer,p_meh (specified by p_units),value_number
ISCN3,layer,p_other (specified by p_units),value_number
ISCN3,layer,p_ox (specified by p_units),value_number
ISCN3,layer,p_units (extract_units),unit
ISCN3,layer,p_method,method
ISCN3,layer,ph_method,method
ISCN3,layer,ph_cacl,value_number
ISCN3,layer,ph_h2o,value_number
ISCN3,layer,ph_other,value_number
ISCN3,dataset,soc_pcount_ISCN,method
ISCN3,profile,layer_bot (cm),value_max
ISCN3,dataset,total_pcount,method
ISCN3,profile,profile_name,id
ISCN3,layer,profile_name,id
ISCN3,profile,dataset_name_soc,method
ISCN3,profile,soc (g cm-2),value_number
ISCN3,profile,soc_method,method
ISCN3,profile,soc_carbon_flag,value_factor
ISCN3,dataset,soc_pcount,method
ISCN3,profile,soc_depth (cm),value_number
ISCN3,profile,soc_spatial_flag,value_factor
ISCN3,profile,layer_top (cm),value_min
ISCN3,profile,profile_zero_ref (profile_zero_ref),value_string
ISCN3,citation,reference,value_string
ISCN3,layer,root_quant_size,value_number
ISCN3,layer,root_weight (g),value_number
ISCN3,profile,runoff (runoff),value_factor
ISCN3,layer,sand_tot_psa (percent),value_number
ISCN3,layer,silt_tot_psa (percent),value_number
ISCN3,dataset,soc_scount_ISCN,value_number
ISCN3,dataset,total_scount,value_number
ISCN3,profile,site_name,id
ISCN3,layer,site_name,id
ISCN3,profile,site_note,note
ISCN3,profile,site_perm (site_perm),value_factor
ISCN3,dataset,soc_scount,value_number
ISCN3,profile,slope (percent),value_number
ISCN3,layer,dataset_name_soc,method
ISCN3,layer,soc (g cm-2),value_number
ISCN3,layer,soc_carbon_flag,flag
ISCN3,layer,soc_method,method
ISCN3,profile,soil_series,value_string
ISCN3,layer,soil_series,value_string
ISCN3,profile,soil_taxon,value_string
ISCN3,layer,soil_taxon,value_string
ISCN3,profile,state (state_province),value_factor
ISCN3,layer,state (state_province),value_factor
ISCN3,profile,surface_veg,value_string
ISCN3,layer,textureClass,value_factor
ISCN3,profile,thaw_depth_profile (cm),value_number
ISCN3,profile,vegclass_local,value_factor
ISCN3,layer,vegclass_local,value_factor
ISCN3,layer,wpg2_method,method
ISCN3,layer,wpg2 (percent),value_number
ISCN3,layer,zn_ext (specified by metal_ext_units),value_number
CCRCN,Study Information,study_id,id
CCRCN,Study Information,one_liner,value_string
CCRCN,Study Information,study_code,value_string
CCRCN,Study Information,study_start_date,value_date
CCRCN,Study Information,study_end_date,value_date
CCRCN,Study Information,title,value_string
CCRCN,Study Information,abstract,value_string
CCRCN,Keywords,study_id,id
CCRCN,Keywords,key_words,value_string
CCRCN,Authors,study_id,id
CCRCN,Authors,last_name,value_string
CCRCN,Authors,given_name,value_string
CCRCN,Authors,institution,value_string
CCRCN,Authors,email,value_string
CCRCN,Authors,address,value_string
CCRCN,Authors,phone,value_string
CCRCN,Authors,corresponding_author,value_factor
CCRCN,Funding Sources,study_id,id
CCRCN,Funding Sources,funding_agency,value_string
CCRCN,Funding Sources,funding_id,id
CCRCN,Funding Sources,funding_notes,method
CCRCN,Associated Publications,study_id,id
CCRCN,Associated Publications,bibtex_citation,value_string
CCRCN,Associated Publications,publication_type,value_factor
CCRCN,Associated Publications,author,value_string
CCRCN,Associated Publications,year,value_date
CCRCN,Associated Publications,title,value_string
CCRCN,Associated Publications,journal,value_string
CCRCN,Associated Publications,volume,value_string
CCRCN,Associated Publications,number,value_string
CCRCN,Associated Publications,pages,value_string
CCRCN,Associated Publications,url,value_string
CCRCN,Associated Publications,doi,value_string
CCRCN,Associated Publications,address,value_string
CCRCN,Associated Publications,annote,value_string
CCRCN,Associated Publications,booktitle,value_string
CCRCN,Associated Publications,chapter,value_string
CCRCN,Associated Publications,crossref,value_string
CCRCN,Associated Publications,edition,value_string
CCRCN,Associated Publications,editor,value_string
CCRCN,Associated Publications,howpublished,method
CCRCN,Associated Publications,institution,value_string
CCRCN,Associated Publications,key,value_string
CCRCN,Associated Publications,month,value_date
CCRCN,Associated Publications,note,method
CCRCN,Associated Publications,organization,value_string
CCRCN,Associated Publications,publisher,value_string
CCRCN,Associated Publications,school,value_string
CCRCN,Associated Publications,series,value_string
CCRCN,Associated Publications,type,value_string
CCRCN,Materials and Methods,study_id,id
CCRCN,Materials and Methods,coring_method,method
CCRCN,Materials and Methods,roots_flag,value_factor
CCRCN,Materials and Methods,sediment_sieved_flag,value_factor
CCRCN,Materials and Methods,sediment_sieve_size,value_number
CCRCN,Materials and Methods,compaction_flag,value_factor
CCRCN,Materials and Methods,dry_bulk_density_temperature,value_number
CCRCN,Materials and Methods,dry_bulk_density_time,value_number
CCRCN,Materials and Methods,dry_bulk_density_sample_volume,value_number
CCRCN,Materials and Methods,dry_bulk_density_sample_mass,value_number
CCRCN,Materials and Methods,dry_bulk_density_flag,value_factor
CCRCN,Materials and Methods,loss_on_ignition_temperature,value_number
CCRCN,Materials and Methods,loss_on_ignition_time,value_number
CCRCN,Materials and Methods,loss_on_ignition_sample_volume,value_number
CCRCN,Materials and Methods,loss_on_ignition_sample_mass,value_number
CCRCN,Materials and Methods,loss_on_ignition_flag,value_factor
CCRCN,Materials and Methods,carbon_measured_or_modeled,value_factor
CCRCN,Materials and Methods,carbonates_removed,value_factor
CCRCN,Materials and Methods,carbonate_removal_method,method
CCRCN,Materials and Methods,fraction_carbon_method,method
CCRCN,Materials and Methods,fraction_carbon_type,value_factor
CCRCN,Materials and Methods,carbon_profile_notes,method
CCRCN,Materials and Methods,cs137_counting_method,method
CCRCN,Materials and Methods,pb210_counting_method,method
CCRCN,Materials and Methods,excess_pb210_rate,value_factor
CCRCN,Materials and Methods,excess_pb210_model,value_factor
CCRCN,Materials and Methods,ra226_assumption,value_factor
CCRCN,Materials and Methods,c14_counting_method,method
CCRCN,Materials and Methods,dating_notes,method
CCRCN,Materials and Methods,age_depth_model_reference,value_factor
CCRCN,Materials and Methods,age_depth_model_notes,method
CCRCN,Site Level,study_id,id
CCRCN,Site Level,site_id,id
CCRCN,Site Level,site_description,value_string
CCRCN,Site Level,site_latitude_max,value_max
CCRCN,Site Level,site_latitude_min,value_min
CCRCN,Site Level,site_longitude_max,value_max
CCRCN,Site Level,site_longitude_min,value_min
CCRCN,Site Level,site_boundaries,value_string
CCRCN,Site Level,salinity_class,value_factor
CCRCN,Site Level,salinity_method,method
CCRCN,Site Level,salinity_notes,method
CCRCN,Site Level,vegetation_class,value_factor
CCRCN,Site Level,vegetation_method,method
CCRCN,Site Level,vegetation_notes,method
CCRCN,Site Level,inundation_class,value_factor
CCRCN,Site Level,inundation_method,method
CCRCN,Site Level,inundation_notes,method
CCRCN,Core Level,study_id,id
CCRCN,Core Level,site_id,id
CCRCN,Core Level,core_id,id
CCRCN,Core Level,core_date,value_date
CCRCN,Core Level,core_notes,method
CCRCN,Core Level,core_latitude,value_number
CCRCN,Core Level,core_longitude,value_number
CCRCN,Core Level,core_position_accuracy,value_number
CCRCN,Core Level,core_position_method,method
CCRCN,Core Level,core_position_notes,method
CCRCN,Core Level,core_elevation,value_number
CCRCN,Core Level,core_elevation_datum,value_factor
CCRCN,Core Level,core_elevation_accuracy,value_number
CCRCN,Core Level,core_elevation_method,method
CCRCN,Core Level,core_elevation_notes,method
CCRCN,Core Level,salinity_class,value_factor
CCRCN,Core Level,salinity_method,method
CCRCN,Core Level,salinity_notes,method
CCRCN,Core Level,vegetation_class,value_factor
CCRCN,Core Level,vegetation_method,method
CCRCN,Core Level,vegetation_notes,method
CCRCN,Core Level,inundation_class,value_factor
CCRCN,Core Level,inundation_method,method
CCRCN,Core Level,inundation_notes,method
CCRCN,Core Level,core_length_flag,value_factor
CCRCN,Soil Depth Series,study_id,id
CCRCN,Soil Depth Series,site_id,id
CCRCN,Soil Depth Series,core_id,id
CCRCN,Soil Depth Series,depth_min,value_min
CCRCN,Soil Depth Series,depth_max,value_max
CCRCN,Soil Depth Series,sample_id,id
CCRCN,Soil Depth Series,dry_bulk_density,value_number
CCRCN,Soil Depth Series,fraction_organic_matter,value_number
CCRCN,Soil Depth Series,fraction_carbon,value_number
CCRCN,Soil Depth Series,compaction_fraction,value_number
CCRCN,Soil Depth Series,compaction_notes,method
CCRCN,Soil Depth Series,cs137_activity,value_number
CCRCN,Soil Depth Series,cs137_activity_sd,standard_deviation
CCRCN,Soil Depth Series,total_pb210_activity,value_number
CCRCN,Soil Depth Series,total_pb210_activity_sd,standard_deviation
CCRCN,Soil Depth Series,ra226_activity,value_number
CCRCN,Soil Depth Series,ra226_activity_sd,standard_deviation
CCRCN,Soil Depth Series,excess_pb210_activity,value_number
CCRCN,Soil Depth Series,excess_pb210_activity_sd,standard_deviation
CCRCN,Soil Depth Series,c14_age,value_number
CCRCN,Soil Depth Series,c14_age_sd,standard_deviation
CCRCN,Soil Depth Series,c14_material,value_string
CCRCN,Soil Depth Series,c14_notes,method
CCRCN,Soil Depth Series,delta_c13,value_number
CCRCN,Soil Depth Series,be7_activity,value_number
CCRCN,Soil Depth Series,be7_activity_sd,standard_deviation
CCRCN,Soil Depth Series,am241_activity,value_number
CCRCN,Soil Depth Series,am241_activity_sd,standard_deviation
CCRCN,Soil Depth Series,marker_date,value_date
CCRCN,Soil Depth Series,marker_type,value_factor
CCRCN,Soil Depth Series,marker_notes,method
CCRCN,Soil Depth Series,age,value_number
CCRCN,Soil Depth Series,age_min,value_min
CCRCN,Soil Depth Series,age_max,value_max
CCRCN,Soil Depth Series,age_sd,standard_deviation
CCRCN,Soil Depth Series,depth_interval_notes,method
CCRCN,Dominant Species Present,study_id,id
CCRCN,Dominant Species Present,site_id,id
CCRCN,Dominant Species Present,core_id,id
