variable_location,data_product,data_table,provided_variable,variable, note
column_name,ISCN3,layer,13c (‰),13c,NA
column_name,ISCN3,layer,14c (‰),14c,NA
column_name,ISCN3,layer,14c_sigma (‰),14c,NA
column_name,ISCN3,layer,14c_age (BP),age,NA
column_name,ISCN3,layer,14c_age_sigma (BP),age,NA
column_name,ISCN3,layer,15n (‰),15n,NA
column_name,ISCN3,profile,2d_position (2d_position),2d_position,NA
column_name,ISCN3,citation,acknowledgement,acknowledgement,NA
column_name,ISCN3,citation,acknowledgement_usage,acknowledgement_usage,NA
column_name,ISCN3,layer,al_dith (specified by al_fe_units),aluminum_dithionate,NA
column_name,ISCN3,layer,al_other (specified by al_fe_units),aluminum_other,NA
column_name,ISCN3,layer,al_ox (specified by al_fe_units),aluminum_oxalate,NA
column_name,ISCN3,layer,al_fe_units (extract_units),aluminum_ iron,NA
column_name,ISCN3,layer,al_fe_method,aluminum_ iron,NA
column_name,ISCN3,profile,aspect_deg (degree),aspect_degree,NA
column_name,ISCN3,layer,base_sum (specified by cec_h_units),base_sum,NA
column_name,ISCN3,layer,cec_h_units (extract_units),base_sum,NA
column_name,ISCN3,layer,bs (percent),base_saturation,NA
column_name,ISCN3,layer,bs_sum (percent),base_saturation_sum,NA
column_name,ISCN3,layer,bd_method,bulk_density,NA
column_name,ISCN3,layer,bdNRCS_prep_code,bulk_density,NA
column_name,ISCN3,layer,bd_other (g cm-3),bulk_density,NA
column_name,ISCN3,layer,bd_samp (g cm-3),bulk_density,NA
column_name,ISCN3,layer,bd_tot (g cm-3),bulk_density,NA
column_name,ISCN3,layer,bd_whole (g cm-3),bulk_density,NA
column_name,ISCN3,layer,c_to_n (mass ratio),carbon_to_nitrogen,NA
column_name,ISCN3,layer,cNRCS_prep_code,total_carbon,NA
column_name,ISCN3,layer,c_method,total_carbon,NA
column_name,ISCN3,layer,c_tot (percent),total_carbon,NA
column_name,ISCN3,layer,ca_al (specified by bc_units),calcium_ aluminum,NA
column_name,ISCN3,layer,bc_units (extract_units),calcium_ aluminum,NA
column_name,ISCN3,layer,bc_method,calcium_ aluminum,NA
column_name,ISCN3,layer,ca_ext (specified by bc_units),calcium_ extractable,NA
column_name,ISCN3,layer,bc_units (extract_units),calcium_ extractable,NA
column_name,ISCN3,layer,bc_method,calcium_ extractable,NA
column_name,ISCN3,layer,caco3 (percent),caco3,NA
column_name,ISCN3,layer,cat_exch (cmol H+ kg-1),cation_exchange_capacity,NA
column_name,ISCN3,layer,cec_sum (specified by cec_h_units),exchangeable_cations_sum,NA
column_name,ISCN3,layer,cec_h_units (extract_units),exchangeable_cations_sum,NA
column_name,ISCN3,citation,citation,citation,NA
column_name,ISCN3,citation,citation_usage,citation,NA
column_name,ISCN3,layer,clay_tot_psa (percent),clay,NA
column_name,ISCN3,layer,color,color,NA
column_name,ISCN3,dataset,contact_email,contact_email,NA
column_name,ISCN3,dataset,contact_name,contact_name,NA
column_name,ISCN3,profile,country (country),country,NA
column_name,ISCN3,layer,country (country),country,NA
column_name,ISCN3,citation,curator_email,curator_email,NA
column_name,ISCN3,dataset,curator_email,curator_email,NA
column_name,ISCN3,citation,curator_name,curator_name,NA
column_name,ISCN3,dataset,curator_name,curator_name,NA
column_name,ISCN3,citation,curator_organization,curator_organization,NA
column_name,ISCN3,dataset,curator_organization,curator_organization,NA
column_name,ISCN3,dataset,dataset_description,dataset_description,NA
column_name,ISCN3,citation,dataset_name,dataset_name,NA
column_name,ISCN3,dataset,dataset_name,dataset_name,NA
column_name,ISCN3,profile,dataset_name_sub,dataset_name,NA
column_name,ISCN3,layer,dataset_name_sub,dataset_name,NA
column_name,ISCN3,citation,dataset_type (dataset_type),dataset_type,NA
column_name,ISCN3,dataset,dataset_type (dataset_type),dataset_type,NA
column_name,ISCN3,profile,datum (datum),datum,NA
column_name,ISCN3,layer,datum (datum),datum,NA
column_name,ISCN3,profile,drainagecl (drainage),drainage_class,NA
column_name,ISCN3,layer,ecec (specified by cec_h_units),effective_cation_exchange_capacity,NA
column_name,ISCN3,layer,cec_h_units (extract_units),effective_cation_exchange_capacity,NA
column_name,ISCN3,profile,ecoregion,ecoregion,NA
column_name,ISCN3,profile,elevation (m),elevation,NA
column_name,ISCN3,layer,fe_dith (specified by al_fe_units),iron_dithionate,NA
column_name,ISCN3,layer,fe_other (specified by al_fe_units),iron_other,NA
column_name,ISCN3,layer,fe_ox (specified by al_fe_units),iron_oxalate,NA
column_name,ISCN3,layer,fraction_modern,fraction_modern,NA
column_name,ISCN3,layer,fraction_modern_sigma,fraction_modern,NA
column_name,ISCN3,layer,h_ext (specified by metal_ext_units),h_ext,NA
column_name,ISCN3,layer,metal_ext_units (extract_units),h_ext,NA
