table,header,description_header,variable,description_variable,type,entry
NA,NA,NA,download_url,NA,value,
metadata,curator_name,Curator Name -,curator_name,name of person curating dataset,value,
metadata,curator_organization,Curator Organization -,curator_organization,organization responsible for curation,value,
metadata,curator_email,Curator Email -,curator_email,email for curator,value,
metadata,modification_date,Template Modification Date - YYYY-MM-DD or MM/DD/YYYY,modification_date,last data of modification for the data,value,
metadata,contact_name,Additional Contact Name -,contact_name,contact person for data set,value,
metadata,contact_email,Additional Contact Email -,contact_email,email for contact,value,
metadata,dataset_name,Dataset Name -,dataset_name,reference name for the dataset,id,
metadata,dataset_description,Dataset Description -,dataset_description,long discription of the data set,value,
metadata,reference,Reference -,reference,list of references associated with dataset,value,
metadata,citation,Citation text -,citation,citation for dataset,value,
metadata,citation_usage,Citation usage -,citation_usage,nows on how to cite the dataset,value,
metadata,acknowledgement,Acknowlegement text -,acknowledgement,text for inclusion in an acknowledgement section,value,
metadata,acknowledgement_usage,Acknowlegement usage -,acknowledgement_usage,notes on how to use the acknowledgement text,value,
metadata,c_est_method,Carbon Estimation Method -,c_est_method,NA,NA,
metadata,c_est_note,Carbon Estimation Note -,c_est_note,NA,NA,
metadata,lab_method,Lab Analysis Method -,lab_method,NA,NA,
metadata,metadata_general,General Metadata -,metadata_general,NA,NA,
metadata,missdata_param,Parameters for Missing Data Equations -,missdata_param,NA,NA,
metadata,resample,Resample Metadata -,resample,NA,NA,
metadata,funding_organization,Funding Organization(s) -,funding_organization,NA,NA,
site,site_name,Site Name -,site_name,name for the site,id,
site,site_note,Site Notes -,site_note,NA,value,
site,country,Country -,country,country of location,value,
site,province,Province -,province,state or other poltical unit at sub-country level,value,
site,state,State - (us_states),state,state or other poltical unit at sub-country level,value,
site,county,County -,county,NA,value,
site,lat,Latitude - dec. deg,latitude,latitute,value,
site,,,latitude,,unit,dec. deg
site,long,Longitude - dec. deg,longitude,longitude,value,
site,,,longitude,,unit,dec. deg
site,datum,Latitude/Longitude Datum - (datum),latitude,lat-lon datum id,method,
site,datum,Latitude/Longitude Datum - (datum),longitude,lat-lon datum id,method,
site,location_acc,Location Accuracy - m,location_acc,NA,value,
site,,,location_acc,,unit,m
site,elevation,Elevation - m,elevation,NA,value,
site,,,elevation,,unit,m
site,vegclass_nat,US National Vegetation Classification Standard -,vegclass_nat,NA,value,
site,vegclass,Vegetation Classification Code -,vegclass,NA,value,
site,vegclass_local,Local Vegetation Classification Code -,vegclass_local,local vegitation decriptor (non standard),value,
site,vegclass_local_type,Local Vegetation Classification Type -,vegclass_local_type,NA,value,
site,veg_note,Additional Vegetation Data Notes -,veg_note,NA,vaule,
site,landscape,Landscape - (landscape),landscape,NA,vaule,
site,landform,Landform - (landform),landform,NA,value,
site,2d_position,2D Position - (2d_position),2d_position,NA,value,
site,landform_note,Landform Notes -,landform,NA,note,
site,parent,Parent Material -,parent,NA,value,
site,aspect_deg,Site Aspect - degree,aspect_deg,NA,value,
site,,,aspect_deg,,unit,degree
site,aspect_cl,Site Aspect Class - (direction),aspect_cl,NA,value,
site,slope,Slope - percent,slope,NA,value,
site,,,slope,,unit,percent
site,stand_age,Maximum Stand Age - years,stand_age,NA,value,
site,,,stand_age,,unit,years
site,stand_maturity,Stand Maturity - (stand_maturity),stand_maturity,NA,value,
site,successional_status,Successional Status -,successional_status,NA,value,
site,drainagecl,Drainage Class - (drainage),drainagecl,NA,value,
site,depth_water,Depth to Water Table - cm,depth_water,NA,value,
site,,,depth_water,,unit,cm
site,thaw_depth_site,Thaw Depth of the Site - cm,site_thaw_depth,NA,value,
site,,,site_thaw_depth,,unit,cm
site,bedrock_depth,Depth to Bedrock - cm,bedrock_depth,NA,value,
site,,,bedrock_depth,,unit,cm
site,climate_station,Meterological Station -,climate_station,NA,value,
site,ffdays,Frost Free Days - days,frost_free_days,NA,value,
site,,,frost_free_days,,unit,days
site,flood_freq,Flooding Frequency - (flood_freq),flood_freq,NA,value,
