,table,header,variable,type,entry,Required,Variable_Name,Units/Info,Description,Vocab,Variable_class,Min,Max
,,,collection_name,id,ISRaD,,,,,,,,
,,,collection_citation,value,10.5194/essd-2019-55,,,,,,,,
,,,collection_license,,CC-BY,,,,,,,,
1,metadata,entry_name,dataset_name,id,,Yes,Dataset (entry) Name,author_year,"Standardized dataset name: ""first author_ publication year."" Synthesis studies  should report multiple entries for each dataset in the synthesis.",must match across levels,NA,NA,NA
2,metadata,doi,doi,value,,Yes,Digital Object Identifier (DOI),"do not use ""http://doi.org"" prefix","Digital Object Identifier. Please look this number up at journal webpage even if it is not reported in PDF. Alphanumeric string only. Do not include ""http://doi.org""",NA,NA,NA,NA
3,metadata,compilation_doi,compilation_doi,value,,No,DOI of Published Compiliation,"do not use ""http://doi.org"" prefix","Digital Object Identifier. Please look this number up at journal webpage even if it is not reported in PDF. Alphanumeric string only. Do not include ""http://doi.org""",NA,NA,NA,NA
4,metadata,curator_name,curator_name,value,,Yes,Curator Name,Your name (person entering data),"Name of person completing template or, in the case of synthesis efforts, the author of the synthesis.",NA,NA,NA,NA
5,metadata,curator_organization,curator_organization,value,,Yes,Curator Organization,Your organization,Professional affiliation,NA,NA,NA,NA
6,metadata,curator_email,curator_email,value,,Yes,Curator Email,Your email,Current Contact email,NA,NA,NA,NA
7,metadata,modification_date_y,modification_date_y,value,,Yes,Template Modification Year,yyyy,Date template was last modified (year),NA,NA,NA,NA
8,metadata,modification_date_m,modification_date_m,value,,Yes,Template Modification Month,mm,Date template was last modified (month),NA,NA,NA,NA
9,metadata,modification_date_d,modification_date_d,value,,Yes,Template Modification Day,dd,Date template was last modified (day),NA,NA,NA,NA
10,metadata,contact_name,contact_name,value,,Yes,Additional Contact Name,Corresponding author of dataset,Name of corresponding author from the dataset or synthesis,NA,NA,NA,NA
11,metadata,contact_email,contact_email,value,,Yes,Additional Contact Email,Corresponding author email,Current email of corresponding author of dataset of synthesis,NA,NA,NA,NA
12,metadata,contact_orcid_id,contact_orcid_id,value,,No,Contact ORCID ID Number,Corresponding author ORCID #,ORCID number of corresponding author (if reported),NA,NA,NA,NA
13,metadata,bibliographical_reference,bibliographical_reference,value,,Yes,Bibliographical Reference,"Author(s), Year, Article Title, Journal Title, Volume, Page Numbers",Citation for study (if applicable),NA,NA,NA,NA
14,metadata,metadata_note,metadata_note,value,,No,Notes about dataset,Notes,"Any comments regarding missing data, available data not included in publication, or other pertinent aspects of the study or dataset.",NA,NA,NA,NA
15,metadata,associated_datasets,associated_datasets,value,,No,Datasets associated with the primary entry,author_year; … ; author_year,List any associated datasets that may report the same data contained in the primary entry,NA,NA,NA,NA
16,metadata,template_version,template_version,value,,No,Template version date,yyyymmddhh,"DO NOT EDIT (year, month, day, hour of template version (UTC))",NA,NA,NA,NA
17,site,entry_name,dataset_name,id,,Yes,Dataset (entry) Name,author_year,"Standardized dataset name: ""first author_ publication year."" Synthesis studies  should report multiple entries for each dataset in the synthesis. Values must match across levels.",must match across levels,character,NA,NA
18,site,site_name,site_name,id,,Yes,Site Name,alphanumeric,"A unique name for a site. See ""general information"" for details on what qualifies as a Site. Values must match across levels.",must match across levels,character,NA,NA
19,site,site_lat,latitude_coarse,value,,Yes,Latitude,dec. deg,"Latitude of site reported as decimal degrees. The precision of the coordinates reported are up the user. For conversion of degree minute second values to decimal degrees, please see the following resource: https://www.latlong.net/degrees-minutes-seconds-to-decimal-degrees",NA,numeric,-90,90
20,site,site_long,longitude_coarse,value,,Yes,Longitude,dec. deg,"Longitude of site reported as decimal degrees. The precision of the coordinates reported are up the user. For conversion of degree minute second values to decimal degrees, please see the following resource: https://www.latlong.net/degrees-minutes-seconds-to-decimal-degrees",NA,numeric,-180,180
21,site,site_datum,datum_coarse,value,,No,Latitude/Longitude Datum,(lat/long datum),Latitude/Longitude datum against which Latitude and Longitude are reported. Default = WGS84,"AGD84, ED50, ETRS89, GRS80, NAD83, OSGB36, WGS84",character,NA,NA
22,site,site_elevation,elevation_coarse,value,,No,Elevation,m,"The elevation at the site as determined by topo map, GPS, altimeter, etc. Contributed value is assumed accurate within several meters regardless of method used.",NA,numeric,-413,8900
