data_table,data_column,attributeDefinition,unit
site,site_name,Site Name,NA
site,site_note,Site Notes,NA
site,country,Country,NA
site,province,Province,NA
site,state,State,(us_states)
site,county,County,NA
site,lat,Latitude,dec. deg
site,long,Longitude,dec. deg
site,datum,Latitude/Longitude Datum,(datum)
site,location_acc,Location Accuracy,m
site,elevation,Elevation,m
site,vegclass_nat,US National Vegetation Classification Standard,NA
site,vegclass,Vegetation Classification Code,NA
site,vegclass_local,Local Vegetation Classification Code,NA
site,vegclass_local_type,Local Vegetation Classification Type,NA
site,veg_note,Additional Vegetation Data Notes,NA
site,landscape,Landscape,(landscape)
site,landform,Landform,(landform)
site,2d_position,2D Position,(2d_position)
site,landform_note,Landform Notes,NA
site,parent,Parent Material,NA
site,aspect_deg,Site Aspect,degree
site,aspect_cl,Site Aspect Class,(direction)
site,slope,Slope,%
site,stand_age,Maximum Stand Age,years
site,stand_maturity,Stand Maturity,(stand_maturity)
site,successional_status,Successional Status,NA
site,drainagecl,Drainage Class,(drainage)
site,depth_water,Depth to Water Table,cm
site,thaw_depth_site,Thaw Depth of the Site,cm
site,bedrock_depth,Depth to Bedrock,cm
site,climate_station,Meterological Station,NA
site,ffdays,Frost Free Days,days
site,flood_freq,Flooding Frequency,(flood_freq)
site,geo_form,Geologic Formation,NA
site,map,Mean Annual Precipitation,mm
site,mat,Mean Annual Temperature,°C
site,mast,Mean Annual Soil Temperature,°C
site,pond_freq,Ponding Frequency,(pond_freq)
site,runoff,Local Runoff Class,(runoff)
site,site_perm,Site Permeability,(site_perm)
site,water_table_duration,Wet Soil Moisture Duration,days
site,cflux_note,C Flux Notes,NA
site,climate_note,Climate Notes,NA
site,eco_note,Ecoregion Note,NA
site,photo_note,Photo Notes,NA
site,soiltemp_note,Soil Temperature Notes,NA
site,add_note,Additional Data Note,NA
site,soc,Site Calculated Soil Organic Carbon Stock,g cm-2
site,soc_type,Site Calculated Soil Organic Carbon Stock Type,(ccon_type)
site,soc_pcount,Site Calculated Soil Organic Carbon Stock Profile Count,NA
site,soc_depth,Site Calculated Soil Organic Carbon Stock Depth,cm
site,soc_sigma,Site Calculated Soil Organic Carbon Stock Standard Deviation,g cm-2
site,soc_method,Site Calculated Soil Organic Carbon Stock Method,NA
fraction,site_name,Site Name,NA
fraction,cluster_name,Cluster Name,NA
fraction,profile_name,Profile/Plot Name,NA
fraction,layer_name,Layer Name,NA
fraction,fraction_name,Fraction Sample Name,NA
fraction,fraction_number,Laboratory Fraction Number,NA
fraction,labeled_addition,Labeled Addition,(label_add)
fraction,fraction_scheme,Fractionation Scheme,(fract_scheme)
fraction,fraction_property,Fraction Property,NA
fraction,fraction_scheme_units,Fractionation Scheme Units,NA
fraction,fraction_type,Fraction Type,NA
fraction,fraction_agent,Fractionation Agent,NA
fraction,fraction_note,Fraction Notes,NA
fraction,c_method,Fraction Carbon Analysis Method,NA
fraction,fraction_c_perc,Fraction proportion of sample carbon,%
fraction,fraction_mass_perc,Fraction proportion of sample mass,%
fraction,c_tot,Fraction Total Carbon,%
fraction,oc,Fraction Organic Carbon,%
fraction,n_tot,Fraction Total Nitrogen,%
fraction,c_to_n,Fraction C:N,mass %
fraction,loi,Fraction Loss on Ignition,%
fraction,15n,Fraction δ15N,‰
fraction,13c,Fraction δ13C,‰
fraction,rc_lab,Radiocarbon Laboratory ID,(rc_lab)
fraction,rc_lab_number,Radiocarbon Laboratory Sample Number,NA
fraction,rc_year,Radiocarbon Analysis Year,YYYY
fraction,14c,Fraction Δ14C,‰
fraction,14c_sigma,Fraction Δ14C Standard Deviation,‰
fraction,14c_age,Fraction Uncalibrated Radiocarbon Age,BP
fraction,14c_age_sigma,Fraction Uncalibrated Radiocarbon Age Standard Deviation,BP
fraction,fraction_modern,Fraction Fraction Modern,NA
fraction,fraction_modern_sigma,Fraction Fraction Modern Standard Deviation,NA
cluster,site_name,Site Name,NA
cluster,cluster_name,Cluster Name,NA
cluster,cluster_note,Cluster Notes,NA
cluster,soc,Cluster Calculated Soil Organic Carbon Stock,g cm-2
cluster,soc_type,Cluster Calculated Soil Organic Carbon Stock Type,(ccon_type)
cluster,soc_pcount,Cluster Calculated Soil Organic Carbon Stock Profile Count,NA
cluster,soc_depth,Cluster Calculated Soil Organic Carbon Stock Depth,cm
cluster,soc_sigma,Cluster Calculated Soil Organic Carbon Stock Standard Deviation,g cm-2
cluster,soc_method,Cluster Calculated Soil Organic Carbon Stock Method,NA
profile,site_name,Site Name,NA
profile,cluster_name,Cluster Name,NA
profile,profile_name,Profile/Plot Name,NA
profile,profile_note,Profile Notes,NA
profile,layer_method,Layer Sampling Method,NA
profile,profile_method,Profile Sampling Method,NA
profile,observation_date,Observation Date,YYYY-MM-DD or MM/DD/YYYY
profile,observation_date_acc,Observation Date Accuracy,(date_qual)
profile,transect_flag,Part of a Transect Flag,(yes_blank)
profile,surface_veg,Surface Vegetation,NA
profile,soil_taxon,Soil Taxonomy,NA
profile,soil_series,Soil Series,NA
profile,add_taxon_flag,Complete Taxonomy Flag,(yes_blank)
profile,thaw_depth_profile,Thaw Depth of the Profile,cm
profile,sampler_names,Sampler Names,NA
profile,soc,Profile Calculated Soil Organic Carbon Stock,g cm-2
profile,soc_type,Profile Calculated Soil Organic Carbon Stock Type,(ccon_type)
profile,soc_lcount,Profile Calculated Soil Organic Carbon Stock Layer Count,NA
profile,soc_depth,Profile Calculated Soil Organic Carbon Stock Depth,cm
profile,soc_sigma,Profile Calculated Soil Organic Carbon Stock Standard Deviation,g cm-2
profile,soc_method,Profile Calculated Soil Organic Carbon Stock Method,NA
layer,site_name,Site Name,NA
layer,cluster_name,Cluster Name,NA
layer,profile_name,Profile/Plot Name,NA
layer,layer_name,Layer Name,NA
layer,layer_number,Laboratory Layer Number,NA
layer,labeled_addition,Labeled Addition,(label_add)
layer,layer_top,Layer Top,cm
layer,layer_bot,Layer Bottom,cm
layer,hzn_desgn,Horizon Designation,NA
layer,hzn_desgn_other,Horizon Designation Other,NA
layer,hzn_desgn_other_note,Horizon Designation Other Note,NA
layer,layer_note,Soil Layer Notes,NA
layer,c_method,Bulk Layer Carbon Analysis Method,NA
layer,color,Moist Munsell Color,NA
layer,burn_ev,Evidence of Burning,(burn)
layer,bd_method,Bulk Density Method,NA
layer,bd_samp,"Bulk Density, Coarse Fragments Removed",g cm-3
layer,bd_tot,Bulk Density With Coarse Fragments,g cm-3
layer,bd_whole,Bulk Density Minus Estimated Coarse Fragments,g cm-3
layer,bd_other,Bulk Density Other,g cm-3
layer,ph_method,pH Method,NA
layer,ph_cacl,Soil pH CaCl2,NA
layer,ph_h2o,Soil pH 1:1,NA
layer,ph_other,Soil pH Other,NA
layer,caco3,CaCO3,%
layer,sand_tot_psa,Percent Sand,%
layer,silt_tot_psa,Percent Silt,%
layer,clay_tot_psa,Percent Clay,%
layer,wpg2_method,Coarse Fragments Method,NA
layer,wpg2,Coarse Fragments,%
layer,cat_exch,Cation Exchange Capacity,cmol H+ kg-1
layer,gwc,Gravimentric % Moisture,%
layer,vwc,Volumetric % Moisture,%
layer,soc,Bulk Layer Calculated Soil Organic Carbon Stock,g cm-2
layer,soc_type,Bulk Layer Calculated Soil Organic Carbon Stock Type,(ccon_type)
layer,soc_sigma,Bulk Layer Calculated Soil Organic Carbon Stock Standard Deviation,g cm-2
layer,soc_method,Bulk Layer Calculated Soil Organic Carbon Stock Method,NA
layer,c_tot,Bulk Layer Total Carbon,%
layer,oc,Bulk Layer Organic Carbon,%
layer,n_tot,Bulk Layer Total Nitrogen,%
layer,c_to_n,Bulk Layer C:N,mass %
layer,loi,Bulk Layer Loss on Ignition,%
layer,root_quant_size,Root Quantity and Size,NA
layer,root_weight,<2mm Root Mass,g
layer,15n,Bulk Layer δ15N,‰
layer,13c,Bulk Layer δ13C,‰
layer,rc_lab,Radiocarbon Laboratory ID,(rc_lab)
layer,rc_lab_number,Radiocarbon Laboratory Sample Number,NA
layer,rc_year,Radiocarbon Analysis Year,YYYY
layer,14c,Bulk Layer Δ14C,‰
layer,14c_sigma,Bulk Layer Δ14C Standard Deviation,‰
layer,14c_age,Bulk Layer Uncalibrated Radiocarbon Age,BP
layer,14c_age_sigma,Bulk Layer Uncalibrated Radiocarbon Age Standard Deviation,BP
layer,fraction_modern,Bulk Layer Fraction Modern,NA
layer,fraction_modern_sigma,Bulk Layer Fraction Modern Standard Deviation,NA
layer,textureClass,Texture Class,NA
